heat_no,grade,width_mm,thickness_mm,stage,enter_time,start_time,proc_end_time,exit_time,equipment,reason_code,due_date
H0001,SS400,1000,294,ld,2026-06-01 05:59:06.007036409,2026-06-01 05:59:06.007036409,2026-06-01 06:05:58.058891248,2026-06-01 06:05:58.058891248,LD-1,,2026-06-01 11:19:27.358980423
H0001,SS400,1000,294,lf_wait,2026-06-01 06:05:58.058891248,2026-06-01 06:05:58.058891248,2026-06-01 06:13:12.532748997,2026-06-01 06:13:12.532748997,LF_WAIT-1,,2026-06-01 11:19:27.358980423
H0001,SS400,1000,294,tundish,2026-06-01 06:13:12.532748997,2026-06-01 06:13:12.532748997,2026-06-01 06:31:02.300225331,2026-06-01 06:31:02.300225331,TUNDISH-1,설비점검,2026-06-01 11:19:27.358980423
H0001,SS400,1000,294,mold,2026-06-01 06:31:02.300225331,2026-06-01 06:31:02.300225331,2026-06-01 06:43:55.938803457,2026-06-01 06:43:55.938803457,MOLD-1,,2026-06-01 11:19:27.358980423
H0001,SS400,1000,294,cooling,2026-06-01 06:43:55.938803457,2026-06-01 06:43:55.938803457,2026-06-01 07:04:16.911192047,2026-06-01 07:04:16.911192047,COOLING-1,,2026-06-01 11:19:27.358980423
H0001,SS400,1000,294,yard,2026-06-01 07:04:16.911192047,2026-06-01 07:04:16.911192047,2026-06-01 07:10:27.597294711,2026-06-01 07:10:27.597294711,YARD-1,,2026-06-01 11:19:27.358980423
H0002,API5L,1600,220,ld,2026-06-01 06:21:47.553454797,2026-06-01 06:21:47.553454797,2026-06-01 06:27:15.942502769,2026-06-01 06:27:15.942502769,LD-1,,2026-06-01 12:24:16.964611585
H0002,API5L,1600,220,lf_wait,2026-06-01 06:27:15.942502769,2026-06-01 06:27:15.942502769,2026-06-01 06:33:10.412117265,2026-06-01 06:33:10.412117265,LF_WAIT-2,,2026-06-01 12:24:16.964611585
H0002,API5L,1600,220,rh,2026-06-01 06:33:10.412117265,2026-06-01 06:33:10.412117265,2026-06-01 06:54:30.120750321,2026-06-01 06:54:30.120750321,RH-1,,2026-06-01 12:24:16.964611585
H0002,API5L,1600,220,tundish,2026-06-01 06:54:30.120750321,2026-06-01 06:54:30.120750321,2026-06-01 07:01:03.057298837,2026-06-01 07:01:03.057298837,TUNDISH-1,,2026-06-01 12:24:16.964611585
